stereotype_type,text,text_with_marker,category,data_source,label
gender,"Borrowed from Old French masle, from Latin masculus (""masculine, male, worthy of a man""), diminutive of mās (""male person or animal, male"").",,unrelated,Wikipedia,unrelated
gender,"In humans, the word male can be used in the context of gender, such as for gender role or gender identity of a man or boy.",,unrelated,Wikipedia,unrelated
gender,"A Malayali man with medium skin tone, of medium build, and with facial hair",,unrelated,Wikipedia,unrelated
gender,A man is an adult male human.,,unrelated,Wikipedia,unrelated
gender,"Like most other male mammals, a man's genome usually inherits an X chromosome from the mother and a Y chromosome from the father.",,unrelated,Wikipedia,unrelated
gender,"The English term ""man"" is derived from the Proto-Indo-European root *man- (see Sanskrit/Avestan manu-, Slavic mǫž ""man, male"").",,unrelated,Wikipedia,unrelated
gender,"The Old English word for ""man"" as distinct from ""woman"" or ""child"" was wer.",,unrelated,Wikipedia,unrelated
gender,"Mann only came to mean ""man"" in Middle English, replacing wer, which survives today only in the compounds ""werewolf"" (from Old English werwulf, literally ""man-wolf""), and ""wergild"", literally ""man-payment"".",,unrelated,Wikipedia,unrelated
gender,"Male sexuality and attraction varies between individuals, and a man's sexual behavior can be affected by many factors, including evolved predispositions, personality, upbringing, and culture.",,unrelated,Wikipedia,unrelated
gender,"Most cultures use a gender binary in which man is one of the two genders, the other being woman.",,unrelated,Wikipedia,unrelated
gender,Many English words such as virtue and virile (from the Indo-European root vir meaning man) reflect this.,,unrelated,Wikipedia,unrelated
gender,"The earliest known recorded name of a man in writing is potentially Kushim, who would have lived sometime between 3400 and 3000 BC in the Sumerian city of Uruk; though his name may have been a title rather than his actual name.",,unrelated,Wikipedia,unrelated
gender,"In the United States in 2020, ten times as many men died on the job as women, and a man was ten times more likely to die on the job than a woman.",,unrelated,Wikipedia,unrelated
gender,A man wearing a business suit stands next to a display of men's blue jeans at a clothing factory.,,unrelated,Wikipedia,unrelated
gender,"Fundamental items of a man's wardrobe include shirts, trousers, suits, and jackets, which are designed to provide both comfort and style while prioritizing functionality.",,unrelated,Wikipedia,unrelated
gender,"The word female comes from the Latin femella, the diminutive form of femina, meaning ""woman"", by way of the Old French femelle.",,unrelated,Wikipedia,unrelated
gender,"Originally, from its first appearance in the 1300s, female exclusively referred to humans and always indicated that the speaker spoke of a woman or a girl.",,unrelated,Wikipedia,unrelated
gender,"For several centuries, using the word female as a noun was considered more respectful than calling her a woman or a lady and was preferred for that reason; however, by 1895, the linguistic fashion had changed, and female was often considered disparaging, usually on the grounds that it grouped humans with other animals.",,unrelated,Wikipedia,unrelated
gender,Lady is a term for a woman who behaves in a polite way.,,unrelated,Wikipedia,unrelated
gender,"Once used to describe only women of a high social class or status, the female counterpart of lord, now it may refer to any adult woman, as gentleman can be used for men.",,unrelated,Wikipedia,unrelated
gender,"""Lady"" is also a formal title in the United Kingdom. ""Lady"" is used before the family name or peerage of a woman with a title of nobility or honorary title suo jure (in her own right), such as female members of the Order of the Garter and Order of the Thistle, or the wife of a lord, a baronet, Scottish feudal baron, laird, or a knight, and also before the first name of the daughter of a duke, marquess, or earl.",,unrelated,Wikipedia,unrelated
gender,"In those languages it is correct to address a woman whose name is unknown as Madame, Señora, etc., but in polite English usage ""lady"" has for centuries only normally been a term of address in the plural, which is also the case for ""gentleman"".",,unrelated,Wikipedia,unrelated
gender,"In some dialects it may still be used to address an unknown woman in a brusque manner, often in an imperative or interrogatory context, analogous to ""mister"" for an unknown male: e.g., ""Hey, lady, you aren't allowed in here!"" In this usage, the word ""lady"" is very seldom capitalized when written.",,unrelated,Wikipedia,unrelated
gender,The usual English term for politely addressing a woman is madam or its abbreviation ma'am.,,unrelated,Wikipedia,unrelated
gender,"He relates that a woman who had paid a fine for prostitution came to his newspaper to protest, not against the fact that her conviction had been reported, but that the newspaper had referred to her as a ""woman"" rather than a ""lady"".",,unrelated,Wikipedia,unrelated
