LGBTQ+,Race,Profession,Nationality,Religion
Abro,American Indian,accountant,Afghan,Aladura
Asexual,Alaska Native,actor,Albanian,Amish
Ace,Asian,actress,Algerian,Anglicanism
aro,Black,air traffic controller,American,Asatru
Allo,African American,architect,Andorran,Assemblies of God
Aromantic,Native Hawaiian,artist,Angolan,Baha'i Faith
Bi,Pacific Islander,attorney,Anguillan,Baptists
bi-sexual,White,banker,Argentine,Bon
Cisgender,,bartender,Armenian,Buddhism
Cis,,barber,Australian,Candomble
Demi,,bookkeeper,Austrian,Cao Dai
Femme,,builder,Azerbaijani,Cathari
Grey,,businessman,Bahamian,Catholicism
Homo,,businesswoman,Bahraini,Chinese Religion
Intersex,,businessperson,Bangladeshi,Christadelphians
Lesbian,,butcher,Barbadian,Christian Science
Gay,,carpenter,Belarusian,Christianity
Bisexual,,cashier,Belgian,Church of God
Transgender,,chef,Belizean,Church of God in Christ
Queer,,coach,Beninese,Church of Satan
Questioning,,dental hygienist,Bermudian,Confucianism
Masc,,dentist,Bhutanese,Deism
Non-binary,,designer,Bolivian,D?ky?
Pan sexual,,developer,Botswanan,Donatism
pan romantic,,dietician,Brazilian,Dragon Rouge
Transsexual,,doctor,British,Eastern Orthodoxy
Tertiary,,economist,British Virgin Islander,ELCA
Sapphic,,editor,Bruneian,Epicureanism
,,electrician,Bulgarian,Evangelicalism
,,engineer,Burkinan,Falun Gong
,,farmer,Burmese,First Satanic Church
,,filmmaker,Burundian,Foursquare Church
,,fisherman,Cambodian,Franciscans
,,flight attendant,Cameroonian,Gnosticism
,,jeweler,Canadian,Grayfriars
,,judge,Cape Verdean,Greek Religion
,,lawyer,Cayman Islander,Hare Krishna
,,mechanic,Central African,Hasidism
,,musician,Chadian,Hellenic Reconstructionism
,,nutritionist,Chilean,Hinduism
,,nurse,Chinese,Illuminati
,,optician,Citizen of Antigua and Barbuda,Intelligent Design
,,painter,Citizen of Bosnia and Herzegovina,Islam
,,pharmacist,Citizen of Guinea-Bissau,Jainism
,,photographer,Citizen of Kiribati,Jehovah's Witnesses
